CODI_I;CODI_S;LONGITUD;LAT;LNG;
"46";"3";"239";"41.1487342097";"1.4213272996";
"46";"4";"205";"41.1497896847";"1.42357193812";
"46";"5";"164";"41.1504999437";"1.42654069932";
"46";"6";"124";"41.1509662649";"1.42800355796";
"46";"7";"222";"41.152172981";"1.43016013248";
"46";"8";"276";"41.1530173528";"1.43165871522";
"47";"1";"191";"41.4064051084";"0.383070579349";
"47";"2";"198";"41.4058814793";"0.384341172355";
"47";"3";"73";"41.405072206";"0.383677120468";
"47";"4";"97";"41.4043140842";"0.383657092781";
"47";"5";"156";"41.4034441243";"0.38420036325";
"47";"6";"359";"41.4023011856";"0.38604022503";
"47";"7";"117";"41.4002049779";"0.386509498178";
"47";"8";"228";"41.3996674248";"0.385770977565";
"48";"1";"252";"41.2385952444";"0.523823484081";
"48";"2";"88";"41.2386945102";"0.525507962464";
"48";"3";"48";"41.2391466547";"0.525252973705";
"48";"4";"154";"41.2399952677";"0.524900036136";
"48";"5";"52";"41.2406059711";"0.524243895904";
"48";"6";"111";"41.2405329637";"0.523333550211";
"48";"7";"202";"41.2406521066";"0.521956498219";
"48";"8";"162";"41.2401522715";"0.521846055139";
"48";"9";"196";"41.2389713945";"0.523064288866";
"49";"1";"153";"41.3528424073";"2.01379493649";
"49";"2";"147";"41.3537353105";"2.01485574252";
"49";"3";"309";"41.3554366947";"2.01650760117";
"49";"4";"157";"41.3554379434";"2.01446148331";
"49";"5";"185";"41.3543580616";"2.01423336605";
"49";"6";"155";"41.3542970868";"2.0130496108";
"49";"7";"300";"41.3550101987";"2.01197500273";
"49";"8";"522";"41.3535707181";"2.01019350303";
"50";"1";"173";"41.3420383188";"1.46796725887";
"50";"2";"157";"41.342366034";"1.46771415848";
"50";"3";"100";"41.3424640399";"1.46830202953";
"50";"4";"168";"41.3412214747";"1.46560868923";
"50";"5";"26";"41.3404745738";"1.46522633984";
"50";"6";"33";"41.3395425306";"1.4637587014";
"50";"7";"180";"41.3388954678";"1.46431208327";
"50";"8";"289";"41.3396129771";"1.46514222939";
"50";"9";"112";"41.3406059367";"1.46585970081";
"50";"10";"129";"41.341105546";"1.46701740251";
"51";"1";"317";"41.3143104476";"1.12590047746";
"51";"2";"122";"41.3153656321";"1.12447814591";
"51";"3";"122";"41.3156485323";"1.12341698254";
"51";"4";"223";"41.31450826";"1.12230090761";
"51";"5";"289";"41.3135033015";"1.12033134437";
"51";"6";"296";"41.3127096156";"1.12027973604";
"51";"7";"257";"41.3125997124";"1.12345335012";
"52";"1";"365";"41.1353975857";"1.36311751762";
"52";"2";"241";"41.1349182837";"1.36442973117";
"52";"3";"273";"41.133033106";"1.36610225701";
"52";"4";"550";"41.1324289946";"1.367088156";
"52";"5";"224";"41.1354080984";"1.36446499093";
"52";"6";"384";"41.1368619096";"1.3632076955";
"52";"7";"439";"41.1381122936";"1.36140908875";
"53";"1";"159";"41.7357086377";"2.32945973051";
"53";"2";"224";"41.7368221487";"2.32849601508";
"53";"3";"101";"41.738200428";"2.32905121194";
"53";"4";"102";"41.7385949733";"2.32971368488";
"53";"5";"165";"41.7386300761";"2.33094940978";
"53";"6";"137";"41.7385546126";"2.33259995701";
"53";"7";"174";"41.7382669221";"2.33418087295";
"53";"8";"234";"41.7351962656";"2.33177086464";
"53";"9";"219";"41.7351152902";"2.33139226699";
"54";"1";"117";"42.3910813042";"3.02071450607";
"54";"2";"85";"42.3905786293";"3.02151301386";
"54";"3";"131";"42.3905200603";"3.02246334756";
"54";"4";"232";"42.3906017989";"3.02355530042";
"54";"5";"212";"42.3894873472";"3.02256059846";
"55";"1";"77";"42.1110037044";"1.78209106653";
"55";"2";"170";"42.1116854865";"1.7813920138";
"55";"3";"76";"42.1118484665";"1.78003329967";
"55";"4";"168";"42.1119288149";"1.77860028625";
"55";"5";"173";"42.1122975324";"1.7767357965";
"55";"6";"177";"42.1114326291";"1.77513453604";
"55";"7";"221";"42.1107560063";"1.77451967836";
"55";"8";"142";"42.11026061";"1.77647882703";
"55";"9";"222";"42.1105550428";"1.77846798508";
"956";"1";"306";"42.2856805873";"1.84658039006";
"956";"2";"71";"42.2865547855";"1.84486554486";
"956";"3";"499";"42.2884167352";"1.84334713461";
"956";"4";"185";"42.288008502";"1.84175968366";
"956";"5";"72";"42.2872456956";"1.84289237484";
"956";"6";"107";"42.286849752";"1.84371474811";
"956";"7";"157";"42.2867230015";"1.84556124261";
"956";"8";"174";"42.2863120341";"1.84746180719";
"956";"9";"252";"42.2861480884";"1.84673596222";
"57";"1";"67";"42.3627935455";"1.45784075475";
"57";"2";"61";"42.3629942967";"1.45874068674";
"57";"3";"66";"42.3638010447";"1.45736017698";
"57";"4";"144";"42.3649598908";"1.45720207521";
"57";"5";"168";"42.3657514571";"1.45827154733";
"57";"6";"220";"42.3652526756";"1.46026892726";
"57";"7";"62";"42.3666390422";"1.4613507917";
"57";"8";"161";"42.3677448573";"1.46017351428";
"58";"1";"162";"41.351057241";"1.52359921953";
"58";"2";"84";"41.3521760875";"1.52364807175";
"58";"3";"134";"41.3530854726";"1.52406889009";
"58";"4";"127";"41.3542616781";"1.52432500645";
"58";"5";"23";"41.3538326475";"1.52652759356";
"58";"6";"124";"41.3533671472";"1.52664700424";
"58";"7";"95";"41.3525907518";"1.5274226285";
"58";"8";"119";"41.351659999";"1.52761380325";
"58";"9";"224";"41.3504843692";"1.52633721031";
"59";"1";"263";"42.193693097";"3.09541779928";
"59";"2";"140";"42.1943927399";"3.09753893133";
"59";"3";"126";"42.1950681487";"3.09886866993";
"59";"4";"165";"42.1947206026";"3.09719649872";
"59";"5";"572";"42.1938199396";"3.09721558325";
"60";"1";"340";"39.9789709217";"3.97201855912";
"60";"2";"136";"39.9780961826";"3.97010741435";
"60";"3";"457";"39.9767741834";"3.96847248687";
"60";"4";"193";"39.9758558738";"3.96522642862";
"60";"5";"70";"39.9749525529";"3.96424491907";
"60";"6";"170";"39.9751463314";"3.9631134959";
"60";"7";"295";"39.976151066";"3.96090977381";
"60";"8";"152";"39.9761751601";"3.96008912477";
"60";"9";"162";"39.9756945932";"3.96102669722";
"61";"1";"105";"39.9462619121";"4.26456861733";
"61";"2";"415";"39.9485094784";"4.26372263594";
"61";"3";"129";"39.9508191268";"4.26303653048";
"61";"4";"120";"39.9512769588";"4.26250244169";
"61";"5";"146";"39.9517834717";"4.26114609918";
"61";"6";"135";"39.9519989029";"4.2596840449";
"61";"7";"115";"39.9510507002";"4.25899132941";
"61";"8";"237";"39.9506771235";"4.26048877032";
"61";"9";"89";"39.9497935753";"4.26149070217";
"61";"10";"181";"39.9503702729";"4.26273342367";
"61";"11";"131";"39.9519350152";"4.26315908761";
"61";"12";"53";"39.9525521366";"4.26367724589";
"62";"1";"136";"42.1425791741";"2.50972422503";
"62";"2";"89";"42.1429051223";"2.509254737";
"62";"3";"56";"42.1431078204";"2.50999182001";
"63";"1";"239";"42.2077382102";"2.60239262909";
"63";"2";"136";"42.208358014";"2.60087477247";
"63";"3";"69";"42.2092583556";"2.60120538356";
"63";"4";"172";"42.2088206266";"2.60239863461";
"63";"5";"58";"42.2086148851";"2.60336194738";
"63";"6";"133";"42.2069861573";"2.60411255682";
"63";"7";"201";"42.206133884";"2.60291472538";
"63";"8";"204";"42.2048668895";"2.6019697422";
"64";"1";"136";"42.2546244429";"3.22496810462";
"64";"2";"355";"42.2555335701";"3.22243626526";
